"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","mre","mare","pconverge"
"46","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","Depletion",100,-0.0787220810895754,0.249492956554255,1
"47","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","F",100,0.0154607429748116,0.256220028246951,1
"48","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","OFL",100,-0.0365801501384555,0.259593974551436,1
"49","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","Recruit",100,0.413544293444969,0.550899989200247,1
"50","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","Selex_ascend",100,-0.0214794117647058,0.0254362745098039,1
"51","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","Selex_peak",100,-0.00474166666666674,0.0314488095238095,1
"52","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","SPR",100,-0.0281389535249354,0.154926380416326,1
"53","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB",100,-0.0792556978950895,0.270559556836668,1
"54","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB0",100,-0.0278167509824111,0.0984375340021326,1
"55","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","Depletion",100,0.0241037562190792,0.23989244825059,1
"56","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","F",100,-0.0436363605150101,0.240261396876219,1
"57","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","OFL",100,0.0457679306404599,0.272214206618096,1
"58","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","Recruit",100,0.430218777361462,0.55354114589904,1
"59","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_ascend",100,-0.0136784313725489,0.0160990196078431,1
"60","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_peak",100,-0.0198690476190476,0.0244297619047619,1
"61","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","SPR",100,0.021700679202566,0.142823171498648,1
"62","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB",100,0.0280874341170572,0.258420365609743,1
"63","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB0",100,-0.00253405367268837,0.108132794720464,1
"64","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","Depletion",100,-0.148558987341705,0.212874113283535,1
"65","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","F",100,0.245115822157216,0.269865173955237,1
"66","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","OFL",100,-0.212874602403174,0.26249576617032,1
"67","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","Recruit",100,0.245014885552329,0.490315282133307,1
"68","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_ascend",100,0.00128627450980399,0.00369901960784312,1
"69","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_peak",100,-0.000575000000000056,0.00507738095238092,1
"70","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","SPR",100,-0.1295800971637,0.162377759260424,1
"71","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB",100,-0.205515647063175,0.256018480295696,1
"72","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB0",100,-0.0684412105274611,0.100322755401114,1
"73","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Depletion",100,-0.127093339788295,0.377677608293686,1
"74","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","F",100,0.125255928665574,0.470320812249871,1
"75","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","OFL",100,-0.119681999947853,0.411503489968652,1
"76","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Recruit",100,0.211241739314761,0.529202727010552,1
"77","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Selex_ascend",100,-0.0029529411764706,0.13631568627451,1
"78","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Selex_peak",100,0.0343154761904762,0.179140476190476,1
"79","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SPR",100,-0.076044848646445,0.236677467284176,1
"80","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB",100,-0.134241667471974,0.436375393990134,1
"81","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB0",100,-0.0151530009558332,0.208185111543941,1
"82","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Depletion",100,0.0849774523618677,0.217955682227035,1
"83","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","F",100,-0.0849015127872782,0.30796012061612,1
"84","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","OFL",100,0.137853847690217,0.382942403337077,1
"85","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Recruit",100,0.69904513851703,0.69904513851703,1
