"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","label","mre","mare","n_nonconverge"
"41","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","F",100,"L10_N50",0.0154789288920801,0.305050462279938,0
"42","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Fraction of unfished",100,"L10_N50",-0.0249065954467662,0.312574166216686,0
"43","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","LN_R0",100,"L10_N50",-0.00102649999999995,0.010616,0
"44","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","OFL",100,"L10_N50",-0.0436731538343636,0.359052972147041,0
"45","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Recruit",100,"L10_N50",0.494092645168777,0.663341815292697,0
"46","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Selex_ascend",100,"L10_N50",-0.0281509803921568,0.034820588235294,0
"47","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Selex_peak",100,"L10_N50",-0.0266273809523809,0.0407011904761905,0
"48","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SPR",100,"L10_N50",-0.0149250800075566,0.181842072284559,0
"49","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB",100,"L10_N50",-0.0420039999949524,0.398533518027008,0
"50","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB0",100,"L10_N50",-0.0101804862708342,0.105754348751025,0
"51","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","F",100,"L20_N200",-0.00849257899308796,0.281938850148347,0
"52","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Fraction of unfished",100,"L20_N200",-0.0267501616943494,0.211669583798556,0
"53","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","LN_R0",100,"L20_N200",0.000490000000000013,0.00879599999999998,0
"54","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","OFL",100,"L20_N200",0.0109224271925241,0.279236042394547,0
"55","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Recruit",100,"L20_N200",0.355865140746379,0.561348673126015,0
"56","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_ascend",100,"L20_N200",-0.00386470588235283,0.00908235294117641,0
"57","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_peak",100,"L20_N200",-0.00201547619047619,0.0106083333333334,0
"58","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SPR",100,"L20_N200",0.00463679094413594,0.148312780447294,0
"59","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB",100,"L20_N200",0.00779868172753825,0.274861308821613,0
"60","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB0",100,"L20_N200",0.00492375426242346,0.08714150937579,0
"61","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","F",100,"L20_N50",-0.0562522852187184,0.277071975442526,0
"62","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Fraction of unfished",100,"L20_N50",0.0526390109365906,0.227915875554901,0
"63","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","LN_R0",100,"L20_N50",0.000260000000000016,0.00998949999999992,0
"64","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","OFL",100,"L20_N50",0.0467946887181102,0.302337686983583,0
"65","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Recruit",100,"L20_N50",0.507693862719405,0.590424150190092,0
"66","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Selex_ascend",100,"L20_N50",0.0137049019607845,0.0197019607843138,0
"67","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Selex_peak",100,"L20_N50",0.00835714285714284,0.0213511904761904,0
"68","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SPR",100,"L20_N50",0.0268434470491193,0.155247392155799,0
"69","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SSB",100,"L20_N50",0.0752567431218352,0.290538226567922,0
"70","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SSB0",100,"L20_N50",0.00263607382239954,0.0966961208092592,0
"71","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","F",100,"L20_Ndecline",0.0882794272697034,0.312935539204681,0
"72","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","Fraction of unfished",100,"L20_Ndecline",-0.0610555419108279,0.249344099908963,0
"73","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","LN_R0",100,"L20_Ndecline",-0.00210150000000002,0.010419,0
"74","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","OFL",100,"L20_Ndecline",-0.0849028462643226,0.314850715739996,0
"75","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","Recruit",100,"L20_Ndecline",0.402638624579211,0.582079743408595,0
"76","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","Selex_ascend",100,"L20_Ndecline",0.00138137254901973,0.0187578431372549,0
"77","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","Selex_peak",100,"L20_Ndecline",-0.00331428571428577,0.020772619047619,0
