"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","label","mre","mare","n_nonconverge"
"50","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F",100,"L20_N50",-0.0838910054066537,0.30170206969116,0
"51","long_fast","R_biasadjusted","HighSigmaR","L20","N50","Fraction of unfished",100,"L20_N50",0.00474708881824105,0.245196946429884,0
"52","long_fast","R_biasadjusted","HighSigmaR","L20","N50","OFL",100,"L20_N50",0.1011430571874,0.367590556099361,0
"53","long_fast","R_biasadjusted","HighSigmaR","L20","N50","Recruit",100,"L20_N50",0.414453940702309,0.634435594034859,0
"54","long_fast","R_biasadjusted","HighSigmaR","L20","N50","SPR",100,"L20_N50",0.0451998271724553,0.171141353853175,0
"55","long_fast","R_biasadjusted","HighSigmaR","L20","N50","SSB",100,"L20_N50",0.0857510982132911,0.337141354961089,0
"56","long_fast","R_biasadjusted","HighSigmaR","L20","N50","SSB0",100,"L20_N50",0.0314201500866359,0.104385440239744,0
"57","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F",100,"L20_Ndecline",0.00290338700434764,0.237932500550863,0
"58","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","Fraction of unfished",100,"L20_Ndecline",-0.0115822684335643,0.206443973107298,0
"59","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","OFL",100,"L20_Ndecline",0.0130947208415041,0.269401682836027,0
"60","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","Recruit",100,"L20_Ndecline",0.441928919774975,0.614989276595342,0
"61","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","SPR",100,"L20_Ndecline",-0.00442262694127052,0.134910228809454,0
"62","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","SSB",100,"L20_Ndecline",-0.0383533970990938,0.277344712404988,0
"63","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","SSB0",100,"L20_Ndecline",0.00593502000949603,0.097315829392069,0
"64","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F",100,"L75_N200",-0.0391115655806428,0.239889595400436,0
"65","long_fast","R_biasadjusted","HighSigmaR","L75","N200","Fraction of unfished",100,"L75_N200",0.0178071077413034,0.184144296782222,0
"66","long_fast","R_biasadjusted","HighSigmaR","L75","N200","OFL",100,"L75_N200",0.0376524806911071,0.268539941956316,0
"67","long_fast","R_biasadjusted","HighSigmaR","L75","N200","Recruit",100,"L75_N200",0.343846939212386,0.540375061838719,0
"68","long_fast","R_biasadjusted","HighSigmaR","L75","N200","SPR",100,"L75_N200",0.0179981931665784,0.133145480017283,0
"69","long_fast","R_biasadjusted","HighSigmaR","L75","N200","SSB",100,"L75_N200",0.0359167871346735,0.261249629472632,0
"70","long_fast","R_biasadjusted","HighSigmaR","L75","N200","SSB0",100,"L75_N200",0.0396890974453207,0.0951977209523164,0
"71","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F",100,"L75_N50",-0.0711354101486908,0.242025406515069,0
"72","long_fast","R_biasadjusted","HighSigmaR","L75","N50","Fraction of unfished",100,"L75_N50",0.0426463508386379,0.218061406621077,0
"73","long_fast","R_biasadjusted","HighSigmaR","L75","N50","OFL",100,"L75_N50",0.0784942189053442,0.25677300778063,0
"74","long_fast","R_biasadjusted","HighSigmaR","L75","N50","Recruit",100,"L75_N50",0.463949360372167,0.615123793990636,0
"75","long_fast","R_biasadjusted","HighSigmaR","L75","N50","SPR",100,"L75_N50",0.0376722897966283,0.134610025119848,0
"76","long_fast","R_biasadjusted","HighSigmaR","L75","N50","SSB",100,"L75_N50",0.0850741835023806,0.253905920874595,0
"77","long_fast","R_biasadjusted","HighSigmaR","L75","N50","SSB0",100,"L75_N50",-0.00280564582267085,0.0924475714206434,0
"78","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F",100,"data-rich",0.00359940734876957,0.0144300085976715,0
"79","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F",100,"perfect",-0.0474459477703516,0.102458791374309,0
"80","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Fraction of unfished",100,"data-rich",-0.0142992551770625,0.0368118955371827,0
"81","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Fraction of unfished",100,"perfect",0.0279121940820997,0.090897523671834,0
"82","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","OFL",100,"data-rich",-0.00400388027010788,0.0150552829397152,0
"83","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","OFL",100,"perfect",0.0518887673679074,0.108659238024111,0
"84","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Recruit",100,"data-rich",0.0621860068011815,0.248703851003672,0
"85","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Recruit",100,"perfect",0.114772922059096,0.246972721233688,0
"86","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SPR",100,"data-rich",-0.00175913750825328,0.00801104300675034,0
"87","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SPR",100,"perfect",0.0257903961005316,0.0561034870388693,0
"88","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB",100,"data-rich",-0.00397339688997103,0.0135861449529052,0
"89","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB",100,"perfect",0.0493492500339916,0.105679368019079,0
"90","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB0",100,"data-rich",0.0165656428628687,0.0397661756272622,0
"91","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB0",100,"perfect",0.0214369839615719,0.0379039667515554,0
"92","long_fast","R_biasadjusted","LowSigmaR","L1","N200","F",100,"L1_N200",-0.134538336165255,0.275943175395525,2
"93","long_fast","R_biasadjusted","LowSigmaR","L1","N200","Fraction of unfished",100,"L1_N200",0.135963241491684,0.267679996851949,2
"94","long_fast","R_biasadjusted","LowSigmaR","L1","N200","OFL",100,"L1_N200",0.148914727725987,0.298488370312187,2
"95","long_fast","R_biasadjusted","LowSigmaR","L1","N200","Recruit",100,"L1_N200",0.124281859131294,0.317485960236989,2
"96","long_fast","R_biasadjusted","LowSigmaR","L1","N200","SPR",100,"L1_N200",0.0713456045877856,0.152287439889121,2
"97","long_fast","R_biasadjusted","LowSigmaR","L1","N200","SSB",100,"L1_N200",0.189316674568014,0.354247323705461,2
"98","long_fast","R_biasadjusted","LowSigmaR","L1","N200","SSB0",100,"L1_N200",0.0310594241951496,0.0720280194606994,2
"99","long_fast","R_biasadjusted","LowSigmaR","L1","N50","F",100,"L1_N50",-0.251072803782622,0.357157522963287,1
"100","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Fraction of unfished",100,"L1_N50",0.246219781544565,0.375733786982323,1
"101","long_fast","R_biasadjusted","LowSigmaR","L1","N50","OFL",100,"L1_N50",0.268887532996818,0.449127978286333,1
"102","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Recruit",100,"L1_N50",0.208004610124762,0.38833104907854,1
"103","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SPR",100,"L1_N50",0.124641579239746,0.211106788344241,1
"104","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SSB",100,"L1_N50",0.383844022693327,0.505130275686445,1
"105","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SSB0",100,"L1_N50",0.0841755409346809,0.123522411252181,1
"106","long_fast","R_biasadjusted","LowSigmaR","L10","N200","F",100,"L10_N200",0.0433179912187946,0.126055238969893,0
"107","long_fast","R_biasadjusted","LowSigmaR","L10","N200","Fraction of unfished",100,"L10_N200",-0.0307114223252323,0.1217938610702,0
"108","long_fast","R_biasadjusted","LowSigmaR","L10","N200","OFL",100,"L10_N200",-0.0359331823026144,0.130454974875929,0
"109","long_fast","R_biasadjusted","LowSigmaR","L10","N200","Recruit",100,"L10_N200",0.0503822086898748,0.242208364094586,0
"110","long_fast","R_biasadjusted","LowSigmaR","L10","N200","SPR",100,"L10_N200",-0.0195141750383906,0.0662075389469865,0
"111","long_fast","R_biasadjusted","LowSigmaR","L10","N200","SSB",100,"L10_N200",-0.0527725491124788,0.122717014068022,0
"112","long_fast","R_biasadjusted","LowSigmaR","L10","N200","SSB0",100,"L10_N200",-0.00890098845060522,0.0485931690232036,0
"113","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F",100,"L10_N50",0.099377054322726,0.223720192385449,0
"114","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Fraction of unfished",100,"L10_N50",-0.120809999423313,0.214452723456035,0
"115","long_fast","R_biasadjusted","LowSigmaR","L10","N50","OFL",100,"L10_N50",-0.0848691278711335,0.225402293484527,0
"116","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Recruit",100,"L10_N50",0.0578066828028354,0.264563716572613,0
"117","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SPR",100,"L10_N50",-0.0540207654913521,0.122594395823708,0
"118","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SSB",100,"L10_N50",-0.10291888983527,0.249125834662311,0
"119","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SSB0",100,"L10_N50",-0.0121444383467038,0.0528540509209301,0
"120","long_fast","R_biasadjusted","LowSigmaR","L20","N200","F",100,"L20_N200",0.0219724909628458,0.125079095379737,0
"121","long_fast","R_biasadjusted","LowSigmaR","L20","N200","Fraction of unfished",100,"L20_N200",-0.0217981308501961,0.102482001977565,0
"122","long_fast","R_biasadjusted","LowSigmaR","L20","N200","OFL",100,"L20_N200",-0.0181470724056821,0.131068100072473,0
"123","long_fast","R_biasadjusted","LowSigmaR","L20","N200","Recruit",100,"L20_N200",0.0691425503413907,0.236749879524753,0
"124","long_fast","R_biasadjusted","LowSigmaR","L20","N200","SPR",100,"L20_N200",-0.0106184196005889,0.0655977794279108,0
"125","long_fast","R_biasadjusted","LowSigmaR","L20","N200","SSB",100,"L20_N200",-0.0264981745158664,0.121224359414368,0
"126","long_fast","R_biasadjusted","LowSigmaR","L20","N200","SSB0",100,"L20_N200",-0.00157239491160674,0.0484513451684312,0
"127","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F",100,"L20_N50",-0.0124336474339472,0.161691150587082,0
"128","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Fraction of unfished",100,"L20_N50",0.0064271149591751,0.131005837858209,0
"129","long_fast","R_biasadjusted","LowSigmaR","L20","N50","OFL",100,"L20_N50",0.0119575033550123,0.170927634915898,0
"130","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Recruit",100,"L20_N50",0.0622929624696515,0.28183460281728,0
"131","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SPR",100,"L20_N50",0.00914919842809222,0.0889584895920036,0
"132","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SSB",100,"L20_N50",0.026150933970546,0.180418960622111,0
"133","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SSB0",100,"L20_N50",0.0049206711351458,0.0502148939712529,0
"134","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","F",100,"L20_Ndecline",0.0119005731000787,0.128258255949039,0
"135","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","Fraction of unfished",100,"L20_Ndecline",-0.0286446660428645,0.101836560320932,0
"136","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","OFL",100,"L20_Ndecline",-0.00564804915873805,0.14104485991354,0
"137","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","Recruit",100,"L20_Ndecline",0.0569069373658783,0.25877184172513,0
"138","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","SPR",100,"L20_Ndecline",-0.00566739675705204,0.0717673860956125,0
"139","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","SSB",100,"L20_Ndecline",-0.0169017318214743,0.151289417792876,0
"140","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","SSB0",100,"L20_Ndecline",-0.00584869244572154,0.0448533356354017,0
"141","long_fast","R_biasadjusted","LowSigmaR","L75","N200","F",100,"L75_N200",0.0299924521108946,0.122909713010268,0
"142","long_fast","R_biasadjusted","LowSigmaR","L75","N200","Fraction of unfished",100,"L75_N200",-0.0359203654039931,0.0997800518722006,0
"143","long_fast","R_biasadjusted","LowSigmaR","L75","N200","OFL",100,"L75_N200",-0.0238105224075104,0.11915844604008,0
"144","long_fast","R_biasadjusted","LowSigmaR","L75","N200","Recruit",100,"L75_N200",0.0661489180216889,0.25447405897025,0
"145","long_fast","R_biasadjusted","LowSigmaR","L75","N200","SPR",100,"L75_N200",-0.0101414604675697,0.061817644495237,0
"146","long_fast","R_biasadjusted","LowSigmaR","L75","N200","SSB",100,"L75_N200",-0.0216677629447306,0.113855363659641,0
"147","long_fast","R_biasadjusted","LowSigmaR","L75","N200","SSB0",100,"L75_N200",0.000311395855043688,0.0445789373076899,0
"148","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F",100,"L75_N50",-0.0386290861871928,0.128406131990098,0
"149","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Fraction of unfished",100,"L75_N50",0.0533690408205329,0.103351506539056,0
"150","long_fast","R_biasadjusted","LowSigmaR","L75","N50","OFL",100,"L75_N50",0.0343740667209967,0.134631837100389,0
"151","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Recruit",100,"L75_N50",0.0903535705807678,0.26200807195218,0
"152","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SPR",100,"L75_N50",0.0215211442530165,0.0715345178130208,0
"153","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SSB",100,"L75_N50",0.0507681367506745,0.13094502519299,0
"154","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SSB0",100,"L75_N50",-0.000928021310575743,0.0456919462549253,0
"155","long_fast","R_unadjusted","HighSigmaR","L100","perfect","F",100,"data-rich",0.000745111592419327,0.0191021097065463,0
"156","long_fast","R_unadjusted","HighSigmaR","L100","perfect","F",100,"perfect",-0.264950123484855,0.264950123484855,0
"157","long_fast","R_unadjusted","HighSigmaR","L100","perfect","Fraction of unfished",100,"data-rich",-0.0325582522046409,0.083360745511747,0
"158","long_fast","R_unadjusted","HighSigmaR","L100","perfect","Fraction of unfished",100,"perfect",0.233382323763089,0.233382323763089,0
"159","long_fast","R_unadjusted","HighSigmaR","L100","perfect","OFL",100,"data-rich",0.000615363771448093,0.0185408114418238,0
"160","long_fast","R_unadjusted","HighSigmaR","L100","perfect","OFL",100,"perfect",0.376289970903759,0.376289970903759,0
"161","long_fast","R_unadjusted","HighSigmaR","L100","perfect","Recruit",100,"data-rich",0.288794852341495,0.398922315669939,0
"162","long_fast","R_unadjusted","HighSigmaR","L100","perfect","Recruit",100,"perfect",0.604685569469884,0.604685569469884,0
"163","long_fast","R_unadjusted","HighSigmaR","L100","perfect","SPR",100,"data-rich",2.4315563643986e-05,0.00988053576538852,0
"164","long_fast","R_unadjusted","HighSigmaR","L100","perfect","SPR",100,"perfect",0.159785050417386,0.159785050417386,0
"165","long_fast","R_unadjusted","HighSigmaR","L100","perfect","SSB",100,"data-rich",-0.00170489043481114,0.0187750585044725,0
"166","long_fast","R_unadjusted","HighSigmaR","L100","perfect","SSB",100,"perfect",0.3622300488363,0.3622300488363,0
"167","long_fast","R_unadjusted","HighSigmaR","L100","perfect","SSB0",100,"data-rich",0.0420816042127851,0.0855968626096822,0
"168","long_fast","R_unadjusted","HighSigmaR","L100","perfect","SSB0",100,"perfect",0.111337892250868,0.120895586811615,0
"169","long_fast","R_unadjusted","HighSigmaR","L1","N200","F",100,"L1_N200",-0.0664359334161224,0.505679013463881,1
"170","long_fast","R_unadjusted","HighSigmaR","L1","N200","Fraction of unfished",100,"L1_N200",-0.246407081986597,0.371009897213224,1
"171","long_fast","R_unadjusted","HighSigmaR","L1","N200","OFL",100,"L1_N200",0.0633918770581778,0.490738647730845,1
"172","long_fast","R_unadjusted","HighSigmaR","L1","N200","Recruit",100,"L1_N200",0.596636496981905,0.763418546531211,1
"173","long_fast","R_unadjusted","HighSigmaR","L1","N200","SPR",100,"L1_N200",0.0276898157067317,0.266489225399664,1
"174","long_fast","R_unadjusted","HighSigmaR","L1","N200","SSB",100,"L1_N200",0.0452193481161476,0.532824901979535,1
"175","long_fast","R_unadjusted","HighSigmaR","L1","N200","SSB0",100,"L1_N200",0.435238911532746,0.435238911532746,1
"176","long_fast","R_unadjusted","HighSigmaR","L1","N50","F",100,"L1_N50",0.138632726164164,0.802273214464351,5
"177","long_fast","R_unadjusted","HighSigmaR","L1","N50","Fraction of unfished",100,"L1_N50",-0.410018763494294,0.563058579987659,5
"178","long_fast","R_unadjusted","HighSigmaR","L1","N50","OFL",100,"L1_N50",-0.211739883226187,0.665997709434398,5
"179","long_fast","R_unadjusted","HighSigmaR","L1","N50","Recruit",100,"L1_N50",0.38771023165148,0.698898397560166,5
"180","long_fast","R_unadjusted","HighSigmaR","L1","N50","SPR",100,"L1_N50",-0.0788871701734075,0.38985517276208,5
"181","long_fast","R_unadjusted","HighSigmaR","L1","N50","SSB",100,"L1_N50",-0.215994491194933,0.768145739695898,5
"182","long_fast","R_unadjusted","HighSigmaR","L1","N50","SSB0",100,"L1_N50",0.370166427210448,0.370166427210448,5
"183","long_fast","R_unadjusted","HighSigmaR","L10","N200","F",100,"L10_N200",-0.152761535894829,0.287031299867369,0
"184","long_fast","R_unadjusted","HighSigmaR","L10","N200","Fraction of unfished",100,"L10_N200",-0.180847278776519,0.237066848511694,0
"185","long_fast","R_unadjusted","HighSigmaR","L10","N200","OFL",100,"L10_N200",0.201026369553733,0.356973946524284,0
"186","long_fast","R_unadjusted","HighSigmaR","L10","N200","Recruit",100,"L10_N200",0.728532648220803,0.743110123923501,0
"187","long_fast","R_unadjusted","HighSigmaR","L10","N200","SPR",100,"L10_N200",0.0855833023154028,0.178260202716984,0
"188","long_fast","R_unadjusted","HighSigmaR","L10","N200","SSB",100,"L10_N200",0.156855478065559,0.345099396077315,0
"189","long_fast","R_unadjusted","HighSigmaR","L10","N200","SSB0",100,"L10_N200",0.422120204966301,0.422120204966301,0
"190","long_fast","R_unadjusted","HighSigmaR","L10","N50","F",100,"L10_N50",-0.0335893004899364,0.415918107764639,0
