"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","label","n_re1"
"76","long_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","L2_N50",8
"77","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",1
"78","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F2","L20_N200",0
"79","long_slow","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",4
"80","long_slow","R_biasadjusted","HighSigmaR","L20","N50","F2","L20_N50",0
"81","long_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",2
"82","long_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",0
"83","long_slow","R_biasadjusted","HighSigmaR","L5","N200","F1","L5_N200",2
"84","long_slow","R_biasadjusted","HighSigmaR","L5","N50","F1","L5_N50",9
"85","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",0
"86","long_slow","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",2
"87","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"88","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"89","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
"90","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","F2","perfect",0
"91","long_slow","R_biasadjusted","LowSigmaR","L1","N200","F1","L1_N200",2
"92","long_slow","R_biasadjusted","LowSigmaR","L1","N50","F1","L1_N50",14
"93","long_slow","R_biasadjusted","LowSigmaR","L10","N200","F1","L10_N200",0
"94","long_slow","R_biasadjusted","LowSigmaR","L10","N50","F1","L10_N50",0
"95","long_slow","R_biasadjusted","LowSigmaR","L20","N200","F1","L20_N200",0
"96","long_slow","R_biasadjusted","LowSigmaR","L20","N50","F1","L20_N50",0
"97","long_slow","R_biasadjusted","LowSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"98","long_slow","R_biasadjusted","LowSigmaR","L75","N200","F1","L75_N200",0
"99","long_slow","R_biasadjusted","LowSigmaR","L75","N50","F1","L75_N50",0
"100","long_slow","R_unadjusted","HighSigmaR","L100","perfect","F1","data-rich",0
"101","long_slow","R_unadjusted","HighSigmaR","L100","perfect","F1","perfect",0
"102","long_slow","R_unadjusted","HighSigmaR","L100","perfect","F2","data-rich",0
"103","long_slow","R_unadjusted","HighSigmaR","L100","perfect","F2","perfect",0
"104","long_slow","R_unadjusted","HighSigmaR","L1","N200","F1","L1_N200",2
"105","long_slow","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",4
"106","long_slow","R_unadjusted","HighSigmaR","L10","N200","F1","L10_N200",0
"107","long_slow","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",0
"108","long_slow","R_unadjusted","HighSigmaR","L2","N200","F1","L2_N200",1
"109","long_slow","R_unadjusted","HighSigmaR","L2","N50","F1","L2_N50",3
"110","long_slow","R_unadjusted","HighSigmaR","L20","N200","F1","L20_N200",0
"111","long_slow","R_unadjusted","HighSigmaR","L20","N200","F2","L20_N200",0
"112","long_slow","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",0
"113","long_slow","R_unadjusted","HighSigmaR","L20","N50","F2","L20_N50",0
"114","long_slow","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"115","long_slow","R_unadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",0
"116","long_slow","R_unadjusted","HighSigmaR","L5","N200","F1","L5_N200",0
"117","long_slow","R_unadjusted","HighSigmaR","L5","N50","F1","L5_N50",1
"118","long_slow","R_unadjusted","HighSigmaR","L75","N200","F1","L75_N200",0
"119","long_slow","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",0
"120","long_slow","R_unadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"121","long_slow","R_unadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"122","long_slow","R_unadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
"123","long_slow","R_unadjusted","LowSigmaR","L100","perfect","F2","perfect",0
"124","long_slow","R_unadjusted","LowSigmaR","L1","N200","F1","L1_N200",1
"125","long_slow","R_unadjusted","LowSigmaR","L1","N50","F1","L1_N50",14
"126","long_slow","R_unadjusted","LowSigmaR","L10","N200","F1","L10_N200",0
"127","long_slow","R_unadjusted","LowSigmaR","L10","N50","F1","L10_N50",0
"128","long_slow","R_unadjusted","LowSigmaR","L20","N200","F1","L20_N200",0
"129","long_slow","R_unadjusted","LowSigmaR","L20","N50","F1","L20_N50",0
"130","long_slow","R_unadjusted","LowSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"131","long_slow","R_unadjusted","LowSigmaR","L75","N200","F1","L75_N200",0
"132","long_slow","R_unadjusted","LowSigmaR","L75","N50","F1","L75_N50",0
"133","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","data-rich",0
"134","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",1
"135","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","data-rich",0
"136","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","perfect",1
"137","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",8
"138","short_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",15
"139","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",2
"140","short_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",10
"141","short_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","L2_N200",5
"142","short_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","L2_N50",15
"143","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",2
"144","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","L20_N200",2
"145","short_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",7
"146","short_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","L20_N50",3
"147","short_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",4
"148","short_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",2
"149","short_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","L5_N200",5
"150","short_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","L5_N50",12
"151","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",2
"152","short_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",6
"153","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"154","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"155","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
"156","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","perfect",0
"157","short_fast","R_biasadjusted","LowSigmaR","L1","N200","F1","L1_N200",0
"158","short_fast","R_biasadjusted","LowSigmaR","L1","N50","F1","L1_N50",13
"159","short_fast","R_biasadjusted","LowSigmaR","L10","N200","F1","L10_N200",0
"160","short_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","L10_N50",0
"161","short_fast","R_biasadjusted","LowSigmaR","L20","N200","F1","L20_N200",0
"162","short_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","L20_N50",0
"163","short_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"164","short_fast","R_biasadjusted","LowSigmaR","L75","N200","F1","L75_N200",0
"165","short_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","L75_N50",0
"166","short_fast","R_unadjusted","HighSigmaR","L100","perfect","F1","data-rich",0
"167","short_fast","R_unadjusted","HighSigmaR","L100","perfect","F1","perfect",6
"168","short_fast","R_unadjusted","HighSigmaR","L100","perfect","F2","data-rich",0
"169","short_fast","R_unadjusted","HighSigmaR","L100","perfect","F2","perfect",1
"170","short_fast","R_unadjusted","HighSigmaR","L1","N200","F1","L1_N200",0
"171","short_fast","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",3
"172","short_fast","R_unadjusted","HighSigmaR","L10","N200","F1","L10_N200",2
"173","short_fast","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",6
"174","short_fast","R_unadjusted","HighSigmaR","L2","N200","F1","L2_N200",2
"175","short_fast","R_unadjusted","HighSigmaR","L2","N50","F1","L2_N50",8
"176","short_fast","R_unadjusted","HighSigmaR","L20","N200","F1","L20_N200",8
"177","short_fast","R_unadjusted","HighSigmaR","L20","N200","F2","L20_N200",2
"178","short_fast","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",8
"179","short_fast","R_unadjusted","HighSigmaR","L20","N50","F2","L20_N50",2
"180","short_fast","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",7
"181","short_fast","R_unadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",2
"182","short_fast","R_unadjusted","HighSigmaR","L5","N200","F1","L5_N200",2
"183","short_fast","R_unadjusted","HighSigmaR","L5","N50","F1","L5_N50",6
"184","short_fast","R_unadjusted","HighSigmaR","L75","N200","F1","L75_N200",2
"185","short_fast","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",5
"186","short_fast","R_unadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"187","short_fast","R_unadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"188","short_fast","R_unadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
"189","short_fast","R_unadjusted","LowSigmaR","L100","perfect","F2","perfect",0
"190","short_fast","R_unadjusted","LowSigmaR","L1","N200","F1","L1_N200",0
"191","short_fast","R_unadjusted","LowSigmaR","L1","N50","F1","L1_N50",7
"192","short_fast","R_unadjusted","LowSigmaR","L10","N200","F1","L10_N200",0
"193","short_fast","R_unadjusted","LowSigmaR","L10","N50","F1","L10_N50",0
"194","short_fast","R_unadjusted","LowSigmaR","L20","N200","F1","L20_N200",0
"195","short_fast","R_unadjusted","LowSigmaR","L20","N50","F1","L20_N50",0
"196","short_fast","R_unadjusted","LowSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"197","short_fast","R_unadjusted","LowSigmaR","L75","N200","F1","L75_N200",0
"198","short_fast","R_unadjusted","LowSigmaR","L75","N50","F1","L75_N50",0
"199","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","F1","data-rich",0
"200","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",1
"201","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","F2","data-rich",0
"202","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","F2","perfect",1
"203","short_slow","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",10
"204","short_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",23
"205","short_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",2
"206","short_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",6
"207","short_slow","R_biasadjusted","HighSigmaR","L2","N200","F1","L2_N200",9
"208","short_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","L2_N50",13
"209","short_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",1
"210","short_slow","R_biasadjusted","HighSigmaR","L20","N200","F2","L20_N200",1
"211","short_slow","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",5
"212","short_slow","R_biasadjusted","HighSigmaR","L20","N50","F2","L20_N50",2
"213","short_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",4
"214","short_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",1
"215","short_slow","R_biasadjusted","HighSigmaR","L5","N200","F1","L5_N200",5
"216","short_slow","R_biasadjusted","HighSigmaR","L5","N50","F1","L5_N50",10
"217","short_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",1
"218","short_slow","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",2
"219","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"220","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"221","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
"222","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","F2","perfect",0
"223","short_slow","R_biasadjusted","LowSigmaR","L1","N200","F1","L1_N200",3
"224","short_slow","R_biasadjusted","LowSigmaR","L1","N50","F1","L1_N50",7
"225","short_slow","R_biasadjusted","LowSigmaR","L10","N200","F1","L10_N200",0
"226","short_slow","R_biasadjusted","LowSigmaR","L10","N50","F1","L10_N50",1
"227","short_slow","R_biasadjusted","LowSigmaR","L20","N200","F1","L20_N200",0
"228","short_slow","R_biasadjusted","LowSigmaR","L20","N50","F1","L20_N50",0
"229","short_slow","R_biasadjusted","LowSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"230","short_slow","R_biasadjusted","LowSigmaR","L5","N50","F1","L5_N50",0
"231","short_slow","R_biasadjusted","LowSigmaR","L75","N200","F1","L75_N200",0
"232","short_slow","R_biasadjusted","LowSigmaR","L75","N50","F1","L75_N50",0
"233","short_slow","R_unadjusted","HighSigmaR","L100","perfect","F1","data-rich",0
"234","short_slow","R_unadjusted","HighSigmaR","L100","perfect","F1","perfect",1
"235","short_slow","R_unadjusted","HighSigmaR","L100","perfect","F2","data-rich",0
"236","short_slow","R_unadjusted","HighSigmaR","L100","perfect","F2","perfect",1
"237","short_slow","R_unadjusted","HighSigmaR","L1","N200","F1","L1_N200",1
"238","short_slow","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",7
"239","short_slow","R_unadjusted","HighSigmaR","L10","N200","F1","L10_N200",2
"240","short_slow","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",3
"241","short_slow","R_unadjusted","HighSigmaR","L2","N200","F1","L2_N200",3
"242","short_slow","R_unadjusted","HighSigmaR","L2","N50","F1","L2_N50",5
"243","short_slow","R_unadjusted","HighSigmaR","L20","N200","F1","L20_N200",3
"244","short_slow","R_unadjusted","HighSigmaR","L20","N200","F2","L20_N200",1
"245","short_slow","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",3
"246","short_slow","R_unadjusted","HighSigmaR","L20","N50","F2","L20_N50",2
"247","short_slow","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",3
"248","short_slow","R_unadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",1
"249","short_slow","R_unadjusted","HighSigmaR","L5","N200","F1","L5_N200",2
"250","short_slow","R_unadjusted","HighSigmaR","L5","N50","F1","L5_N50",2
"251","short_slow","R_unadjusted","HighSigmaR","L75","N200","F1","L75_N200",1
"252","short_slow","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",2
"253","short_slow","R_unadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"254","short_slow","R_unadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"255","short_slow","R_unadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
"256","short_slow","R_unadjusted","LowSigmaR","L100","perfect","F2","perfect",0
"257","short_slow","R_unadjusted","LowSigmaR","L1","N200","F1","L1_N200",2
"258","short_slow","R_unadjusted","LowSigmaR","L1","N50","F1","L1_N50",7
"259","short_slow","R_unadjusted","LowSigmaR","L10","N200","F1","L10_N200",0
"260","short_slow","R_unadjusted","LowSigmaR","L10","N50","F1","L10_N50",0
"261","short_slow","R_unadjusted","LowSigmaR","L20","N200","F1","L20_N200",0
"262","short_slow","R_unadjusted","LowSigmaR","L20","N50","F1","L20_N50",0
"263","short_slow","R_unadjusted","LowSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"264","short_slow","R_unadjusted","LowSigmaR","L5","N50","F1","L5_N50",0
"265","short_slow","R_unadjusted","LowSigmaR","L75","N200","F1","L75_N200",0
"266","short_slow","R_unadjusted","LowSigmaR","L75","N50","F1","L75_N50",0
