"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","mre","mare","pconverge"
"50","short_fast","R_biasadjusted","Deterministic","L100","perfect","Selex_peak",100,2.38095238103142e-06,2.38095238103142e-06,1
"51","short_fast","R_biasadjusted","Deterministic","L100","perfect","Selex_shape",100,0,0,1
"52","short_fast","R_biasadjusted","Deterministic","L100","perfect","SPR",100,0,0,1
"53","short_fast","R_biasadjusted","Deterministic","L100","perfect","SSB",100,0,0,1
"54","short_fast","R_biasadjusted","Deterministic","L100","perfect","SSB0",100,-6.5375389997885e-05,6.5375389997885e-05,1
"55","short_fast","R_biasadjusted","Deterministic","L100","perfect","SSBmsy",100,-6.81627119672103e-05,6.81627119672103e-05,1
"56","short_fast","R_unadjusted","Deterministic","L100","perfect","Depletion",100,6.66528917351579e-06,6.66528917351579e-06,1
"57","short_fast","R_unadjusted","Deterministic","L100","perfect","F",100,-1.06798698340536e-06,1.06798698340536e-06,1
"58","short_fast","R_unadjusted","Deterministic","L100","perfect","Fmsy",100,0,0,1
"59","short_fast","R_unadjusted","Deterministic","L100","perfect","MSY",100,-7.79316928711275e-06,7.79316928711275e-06,1
"60","short_fast","R_unadjusted","Deterministic","L100","perfect","Recruit",100,4.62109581584326e-05,4.62109581584326e-05,1
"61","short_fast","R_unadjusted","Deterministic","L100","perfect","Selex_peak",100,0,0,1
"62","short_fast","R_unadjusted","Deterministic","L100","perfect","Selex_shape",100,0,0,1
"63","short_fast","R_unadjusted","Deterministic","L100","perfect","SPR",100,0,0,1
"64","short_fast","R_unadjusted","Deterministic","L100","perfect","SSB",100,0,0,1
"65","short_fast","R_unadjusted","Deterministic","L100","perfect","SSB0",100,-5.6358094825876e-06,5.6358094825876e-06,1
"66","short_fast","R_unadjusted","Deterministic","L100","perfect","SSBmsy",100,-7.57363466303868e-06,7.57363466303868e-06,1
"67","short_slow","R_biasadjusted","Deterministic","L100","perfect","Depletion",100,7.52360531167287e-05,7.52360531167287e-05,1
"68","short_slow","R_biasadjusted","Deterministic","L100","perfect","F",100,-7.67563778157918e-06,7.67563778157918e-06,1
"69","short_slow","R_biasadjusted","Deterministic","L100","perfect","Fmsy",100,0,0,1
"70","short_slow","R_biasadjusted","Deterministic","L100","perfect","MSY",100,-6.50326884896245e-05,6.50326884896245e-05,1
"71","short_slow","R_biasadjusted","Deterministic","L100","perfect","Recruit",100,0,0,1
"72","short_slow","R_biasadjusted","Deterministic","L100","perfect","Selex_peak",100,2.38095238103142e-06,2.38095238103142e-06,1
"73","short_slow","R_biasadjusted","Deterministic","L100","perfect","Selex_shape",100,1.96078431382541e-06,1.96078431382541e-06,1
"74","short_slow","R_biasadjusted","Deterministic","L100","perfect","SPR",100,5.91029356445129e-06,5.91029356445129e-06,1
"75","short_slow","R_biasadjusted","Deterministic","L100","perfect","SSB",100,1.03454875570025e-05,1.03454875570025e-05,1
"76","short_slow","R_biasadjusted","Deterministic","L100","perfect","SSB0",100,-6.60032605610717e-05,6.60032605610717e-05,1
"77","short_slow","R_biasadjusted","Deterministic","L100","perfect","SSBmsy",100,-6.11934247664532e-05,6.11934247664532e-05,1
"78","short_slow","R_unadjusted","Deterministic","L100","perfect","Depletion",100,7.05337997975858e-06,7.05337997975858e-06,1
"79","short_slow","R_unadjusted","Deterministic","L100","perfect","F",100,0,0,1
"80","short_slow","R_unadjusted","Deterministic","L100","perfect","Fmsy",100,0,0,1
"81","short_slow","R_unadjusted","Deterministic","L100","perfect","MSY",100,-7.65090452818089e-06,7.65090452818089e-06,1
"82","short_slow","R_unadjusted","Deterministic","L100","perfect","Recruit",100,4.67773036523436e-05,4.67773036523436e-05,1
"83","short_slow","R_unadjusted","Deterministic","L100","perfect","Selex_peak",100,0,0,1
"84","short_slow","R_unadjusted","Deterministic","L100","perfect","Selex_shape",100,0,0,1
"85","short_slow","R_unadjusted","Deterministic","L100","perfect","SPR",100,0,0,1
"86","short_slow","R_unadjusted","Deterministic","L100","perfect","SSB",100,0,0,1
"87","short_slow","R_unadjusted","Deterministic","L100","perfect","SSB0",100,-6.6003260561712e-06,6.6003260561712e-06,1
"88","short_slow","R_unadjusted","Deterministic","L100","perfect","SSBmsy",100,-7.64917809570229e-06,7.64917809570229e-06,1
