"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","mre","mare","pconverge"
"54","long_fast","R_biasadjusted","LowSigmaR","L1","N50","F1","SPR",100,0.125537514238633,0.211811004475934,1
"55","long_fast","R_biasadjusted","LowSigmaR","L1","N50","F1","SSB",100,0.388686333983187,0.511714011577149,1
"56","long_fast","R_biasadjusted","LowSigmaR","L1","N50","F1","SSB0",100,0.0849833202814279,0.125532610237216,1
"57","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","Depletion",100,-0.120809999423313,0.214452723456035,1
"58","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","F",100,0.099377054322726,0.223720192385449,1
"59","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","OFL",100,-0.0848691278711335,0.225402293484527,1
"60","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","Recruit",100,0.0578066828028354,0.264563716572613,1
"61","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","SPR",100,-0.0540207654913521,0.122594395823708,1
"62","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","SSB",100,-0.10291888983527,0.249125834662311,1
"63","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F1","SSB0",100,-0.0121444383467038,0.0528540509209301,1
"64","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","Depletion",100,0.0064271149591751,0.131005837858209,1
"65","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","F",100,-0.0124336474339472,0.161691150587082,1
"66","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","OFL",100,0.0119575033550123,0.170927634915898,1
"67","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","Recruit",100,0.0622929624696515,0.28183460281728,1
"68","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","SPR",100,0.00914919842809222,0.0889584895920036,1
"69","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","SSB",100,0.026150933970546,0.180418960622111,1
"70","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F1","SSB0",100,0.0049206711351458,0.0502148939712529,1
"71","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","Depletion",100,0.0533690408205329,0.103351506539056,1
"72","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","F",100,-0.0386290861871928,0.128406131990098,1
"73","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","OFL",100,0.0343740667209967,0.134631837100389,1
"74","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","Recruit",100,0.0903535705807678,0.26200807195218,1
"75","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","SPR",100,0.0215211442530165,0.0715345178130208,1
"76","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","SSB",100,0.0507681367506745,0.13094502519299,1
"77","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F1","SSB0",100,-0.000928021310575743,0.0456919462549253,1
"78","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","Depletion",100,-0.3461813645527,0.569118857593842,1
"79","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","F",100,0.0894132619923321,0.834328198575695,1
"80","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","OFL",100,-0.145256176630305,0.69322285637756,1
"81","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","Recruit",100,0.474692186560341,0.756817340868634,1
"82","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","SPR",100,-0.0579636276576445,0.392072565123626,1
"83","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","SSB",100,-0.148692033828779,0.786535279517845,1
"84","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","SSB0",100,0.40926048109118,0.40926048109118,1
"85","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","Depletion",100,-0.306734782188256,0.365103697473418,1
"86","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","F",100,-0.0335893004899364,0.415918107764639,1
"87","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","OFL",100,0.0483202704229482,0.445339667745404,1
"88","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","Recruit",100,0.907567178793875,0.907567178793875,1
"89","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","SPR",100,0.0114395374805708,0.229015200968133,1
"90","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","SSB",100,-0.0394188367174587,0.48317990503524,1
"91","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","SSB0",100,0.409204984800183,0.409204984800183,1
"92","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","Depletion",100,-0.470696470177749,0.66254934927168,1
"93","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","F",100,0.273259506268718,0.78793538898175,1
"94","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","OFL",100,-0.262718504965672,0.778227884782529,1
"95","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","Recruit",100,0.397262750238248,0.73836167981389,1
"96","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","SPR",100,-0.137566236530581,0.510525833415944,1
"97","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","SSB",100,-0.317027186761069,0.789911411525732,1
"98","long_fast","R_unadjusted","HighSigmaR","L2","N50","F1","SSB0",100,0.419308392889075,0.419308392889075,1
"99","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","Depletion",100,-0.165115883083771,0.282617932177149,1
"100","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","F",100,-0.203620004180311,0.314813455050049,1
"101","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","OFL",100,0.25886107162386,0.34935326669071,1
"102","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","Recruit",100,1.01396288099914,1.01396288099914,1
"103","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","SPR",100,0.115232391323459,0.187016611270825,1
"104","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","SSB",100,0.234204694034773,0.348372396290801,1
"105","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","SSB0",100,0.458436361169862,0.458436361169862,1
"106","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","Depletion",100,-0.172588360958196,0.228697165864056,1
"107","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","F",100,-0.090200967911018,0.298725315345378,1
"108","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","OFL",100,0.141180936194895,0.287548935956395,1
"109","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","Recruit",100,1.02175520171752,1.02175520171752,1
"110","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","SPR",100,0.0333124771519362,0.0952145608953629,1
"111","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","SSB",100,0.0942971327425887,0.302079454207522,1
"112","long_fast","R_unadjusted","HighSigmaR","L20","N50","F2","SSB0",100,0.362939576871612,0.362939576871612,1
"113","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","Depletion",100,-0.316327037094725,0.50447851292152,1
"114","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","F",100,0.0314436754024764,0.557331779960484,1
"115","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","OFL",100,-0.037167754793017,0.629541247032973,1
"116","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","Recruit",100,0.702568151216228,0.833758457822895,1
"117","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","SPR",100,-0.0249617965086593,0.342096600123074,1
"118","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","SSB",100,-0.0852186359392968,0.687258881684305,1
"119","long_fast","R_unadjusted","HighSigmaR","L5","N50","F1","SSB0",100,0.382890493485352,0.382890493485352,1
"120","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","Depletion",100,-0.0697798922554142,0.185568047583938,1
"121","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","F",100,-0.137238752047154,0.258179478696071,1
"122","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","OFL",100,0.171341569417103,0.292618839953487,1
"123","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","Recruit",100,0.669551950098749,0.815693056052174,1
"124","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","SPR",100,0.0796503047862381,0.15054794187458,1
"125","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","SSB",100,0.176090661649224,0.291659061704684,1
"126","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","SSB0",100,0.217357389947772,0.217357389947772,1
"127","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","Depletion",100,0.143096717453518,0.301539560348248,1
"128","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","F",100,-0.246994468029334,0.354411868500989,1
"129","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","OFL",100,0.272510860356536,0.470463097536083,1
"130","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","Recruit",100,0.293534377603483,0.47199672276632,1
"131","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","SPR",100,0.129599148581187,0.211276062075764,1
"132","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","SSB",100,0.375968336938961,0.504723163727316,1
"133","long_fast","R_unadjusted","LowSigmaR","L1","N50","F1","SSB0",100,0.17542994209887,0.177803950102668,1
"134","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","Depletion",100,-0.198347822136698,0.23047031727514,1
"135","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","F",100,0.096789328557014,0.235054368334437,1
"136","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","OFL",100,-0.0899588873758085,0.226954446349742,1
"137","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","Recruit",100,0.12461469024559,0.278802805038607,1
"138","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","SPR",100,-0.0512300869561965,0.126067780568872,1
"139","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","SSB",100,-0.11079978554991,0.257807560045801,1
"140","long_fast","R_unadjusted","LowSigmaR","L10","N50","F1","SSB0",100,0.0734955880448657,0.079782084564015,1
"141","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","Depletion",100,-0.06505361022675,0.131454489475515,1
"142","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","F",100,-0.0247735639051183,0.168692013466122,1
"143","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","OFL",100,0.0245088234311381,0.173640366750322,1
"144","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","Recruit",100,0.145370377229081,0.315247147811025,1
"145","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","SPR",100,0.0153627601531506,0.09138630510047,1
"146","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","SSB",100,0.0370552548911865,0.182857271785923,1
"147","long_fast","R_unadjusted","LowSigmaR","L20","N50","F1","SSB0",100,0.0948092469153312,0.0948092469153312,1
"148","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","Depletion",100,-0.017120960359568,0.0891216142505121,1
"149","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","F",100,-0.0247432468789933,0.128066714060417,1
"150","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","OFL",100,0.02070039464731,0.134267397406361,1
"151","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","Recruit",100,0.139463310895105,0.307308205452084,1
"152","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","SPR",100,0.015549802950413,0.0692535309004053,1
"153","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","SSB",100,0.0395888756007313,0.133505015848145,1
"154","long_fast","R_unadjusted","LowSigmaR","L75","N50","F1","SSB0",100,0.0559834251077553,0.0608732649701245,1
"155","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","Depletion",100,0.17453034812916,0.475027577211388,1
"156","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","F",100,-0.151731782918472,0.562040434121308,1
"157","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","OFL",100,0.192293578911944,0.556622276644984,1
"158","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","Recruit",100,0.593124477115079,0.695032589738947,1
"159","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","SPR",100,0.108186002452676,0.337848248537828,1
"160","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","SSB",100,0.16597449585373,0.586771475683463,1
"161","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","SSB0",100,0.0209831097448538,0.146828510136787,1
"162","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","Depletion",100,0.193863254743547,0.268962852128701,1
"163","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","F",100,-0.178707629652748,0.250947767593258,1
"164","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","OFL",100,0.263709195045985,0.290933147099668,1
"165","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","Recruit",100,0.613309265564534,0.654986555363367,1
"166","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","SPR",100,0.123680310986731,0.159816009999371,1
"167","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB",100,0.256327607816947,0.287885513405182,1
"168","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB0",100,0.0473722006581096,0.102190796775195,1
"169","long_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","Depletion",100,0.253699056269931,0.398228629689321,1
"170","long_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","F",100,-0.214612412118868,0.353298059526382,1
"171","long_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","OFL",100,0.308960064520452,0.441359021557924,1
"172","long_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","Recruit",100,0.460572202880946,0.638835905816436,1
"173","long_slow","R_biasadjusted","HighSigmaR","L2","N50","F1","SPR",100,0.144479906924093,0.223486337337274,1
